Time,FrictionSigned,Energy,CPUUtil,PSI,Score
2026-02-18 10:48:37,0.237792,0.000000,2.413911,0.247960,17.886
2026-02-18 10:48:38,0.409997,0.172205,2.266452,9.987982,18.064
2026-02-18 10:48:39,0.405683,0.088260,2.178150,10.866995,18.060
2026-02-18 10:48:40,0.180292,0.133970,4.001380,6.008493,17.827
2026-02-18 10:48:41,0.408618,0.157559,2.257880,0.283098,18.063
2026-02-18 10:48:42,0.280380,0.151695,2.486821,0.234399,17.930
2026-02-18 10:48:43,0.376384,0.142413,2.227325,0.268009,18.029
2026-02-18 10:48:44,0.394285,0.124626,2.213303,0.225970,18.048
2026-02-18 10:48:45,0.263415,0.125406,2.970183,0.286192,17.912
2026-02-18 10:48:46,0.273563,0.112600,2.503445,4.686417,17.923
2026-02-18 10:48:47,0.313568,0.105340,2.567630,0.229802,17.964
2026-02-18 10:48:48,0.275011,0.099269,2.098383,0.222784,17.924
2026-02-18 10:48:49,0.189773,0.098100,2.007341,0.228228,17.837
2026-02-18 10:48:50,0.392763,0.100665,4.294408,0.285943,18.046
2026-02-18 10:48:51,0.237013,0.103093,2.547040,0.351479,17.885
2026-02-18 10:48:52,0.316328,0.089547,3.432442,0.221534,17.967
2026-02-18 10:48:53,0.371324,0.082888,2.628558,0.275116,18.024
2026-02-18 10:48:54,0.668222,0.119218,1.985083,0.237001,18.336
2026-02-18 10:48:55,0.272796,0.197562,2.339450,0.271075,17.922
2026-02-18 10:48:56,0.400874,0.131087,3.584864,2.047990,18.055
2026-02-18 10:48:57,0.490928,0.129035,2.240496,21.749235,19.707
2026-02-18 10:48:58,0.356840,0.129276,2.643678,15.853557,18.009
2026-02-18 10:48:59,0.419739,0.126259,2.282634,0.351702,18.074
2026-02-18 10:49:00,0.235606,0.132633,3.663719,8.446775,17.884
2026-02-18 10:49:01,0.245089,0.121700,2.259433,0.279406,17.894
2026-02-18 10:49:02,0.469471,0.122164,3.358936,9.840311,18.126
2026-02-18 10:49:03,0.307620,0.123765,2.697738,0.248296,17.958
2026-02-18 10:49:04,0.213784,0.123662,2.299245,0.235618,17.861
2026-02-18 10:49:05,0.387831,0.131109,2.704569,0.266167,18.041
2026-02-18 10:49:06,0.213662,0.139310,2.481333,0.313438,17.861
2026-02-18 10:49:07,0.420737,0.153406,2.143758,0.321997,18.075
2026-02-18 10:49:08,0.365628,0.148491,2.457510,0.234071,18.018
2026-02-18 10:49:09,0.360442,0.136980,2.443501,0.286143,18.013
2026-02-18 10:49:10,0.397981,0.128796,2.237522,0.309994,18.052
2026-02-18 10:49:11,0.363755,0.120595,3.421748,0.370587,18.016
2026-02-18 10:49:12,0.278449,0.119288,2.029817,0.817936,17.928
2026-02-18 10:49:13,0.266844,0.115974,2.500574,10.203328,17.916
2026-02-18 10:49:14,0.420444,0.123549,2.351457,0.211483,18.075
2026-02-18 10:49:15,0.246781,0.127309,3.029608,0.277850,17.895
2026-02-18 10:49:16,0.608220,0.121685,2.858783,0.257460,18.272
2026-02-18 10:49:17,0.182991,0.148642,3.997702,0.771873,17.830
2026-02-18 10:49:18,0.439043,0.149872,2.537605,0.269304,18.094
2026-02-18 10:49:19,0.173338,0.160422,2.271424,5.191103,17.820
2026-02-18 10:49:20,0.530292,0.170893,3.213589,12.467955,18.190
2026-02-18 10:49:21,0.242427,0.204099,2.401471,0.369388,17.891
2026-02-18 10:49:22,0.534659,0.225323,1.925060,0.213499,18.195
2026-02-18 10:49:23,0.351595,0.237726,2.615579,0.264907,18.003
2026-02-18 10:49:24,0.427667,0.225291,2.550258,6.541431,18.082
2026-02-18 10:49:25,0.579069,0.230376,3.123923,12.026280,18.241
2026-02-18 10:49:26,0.253796,0.262913,3.770115,0.267275,17.902
2026-02-18 10:49:27,0.212773,0.239255,2.238806,2.334209,17.860
2026-02-18 10:49:28,0.300213,0.234530,2.237265,0.240300,17.950
2026-02-18 10:49:29,0.357174,0.218373,2.443501,0.236596,18.009
2026-02-18 10:49:30,0.237439,0.216257,3.478760,0.295051,17.886
2026-02-18 10:49:31,0.272585,0.202714,2.235726,0.315752,17.922
2026-02-18 10:49:32,0.376507,0.199954,2.685026,0.275904,18.029
2026-02-18 10:49:33,0.208373,0.199647,2.123752,0.294913,17.856
2026-02-18 10:49:34,0.292488,0.193566,5.702157,0.299879,17.942
2026-02-18 10:49:35,0.327053,0.185047,3.364336,0.312685,17.978
2026-02-18 10:49:36,0.419325,0.181171,2.350648,0.262969,18.074
2026-02-18 10:49:37,-0.251860,0.159270,2.306104,0.247504,17.452
2026-02-18 10:49:38,-0.288953,0.165805,2.420558,0.262831,17.424
2026-02-18 10:49:39,-0.198301,0.162538,2.201835,0.259474,17.493
2026-02-18 10:49:40,0.494071,0.136510,2.926325,0.255936,18.152
2026-02-18 10:49:41,-0.334774,0.121547,3.504136,0.377164,17.390
2026-02-18 10:49:42,-0.245120,0.119953,2.616780,0.268394,17.457
2026-02-18 10:49:43,0.610206,0.119313,2.466728,19.695871,18.274
2026-02-18 10:49:44,0.388849,0.132576,3.409482,0.247870,18.042
2026-02-18 10:49:45,0.354457,0.124614,2.112029,0.647859,18.006
2026-02-18 10:49:46,-0.291186,0.121386,2.352266,0.259709,17.423
2026-02-18 10:49:47,0.463266,0.129667,2.337841,10.352194,18.120
2026-02-18 10:49:48,-0.191417,0.144175,2.076164,0.220326,17.498
2026-02-18 10:49:49,0.468781,0.153518,3.731343,10.648181,18.125
2026-02-18 10:49:50,0.368062,0.154555,2.456100,0.252539,18.020
2026-02-18 10:49:51,-0.202346,0.162752,2.264410,0.291669,17.490
2026-02-18 10:49:52,0.540835,0.188978,2.311408,0.283412,18.201
2026-02-18 10:49:53,0.456226,0.182020,2.386690,0.317190,18.112
2026-02-18 10:49:54,-0.258916,0.189131,3.348624,0.283481,17.447
2026-02-18 10:49:55,-0.330995,0.181815,2.527574,0.350920,17.393
2026-02-18 10:49:56,0.374847,0.169086,3.700724,0.260616,18.028
2026-02-18 10:49:57,-0.198259,0.166689,2.087156,0.257483,17.493
2026-02-18 10:49:58,-0.314734,0.163899,3.298092,0.311791,17.405
2026-02-18 10:49:59,0.469003,0.163620,2.548794,0.315587,18.126
2026-02-18 10:50:00,-0.282559,0.157462,3.070377,0.427418,17.429
2026-02-18 10:50:01,-0.260821,0.161247,2.763761,0.421414,17.446
2026-02-18 10:50:02,0.466912,0.149074,4.711142,0.308853,18.123
2026-02-18 10:50:03,-0.235101,0.165734,3.955387,0.309964,17.465
2026-02-18 10:50:04,-0.237838,0.151763,2.224516,5.829757,17.463
2026-02-18 10:50:05,0.400340,0.156985,3.203950,0.288892,18.054
2026-02-18 10:50:06,0.661477,0.148386,2.604406,0.310085,18.328
2026-02-18 10:50:07,-0.286807,0.152821,2.922301,0.280421,17.426
2026-02-18 10:50:08,0.433363,0.156951,2.167431,0.232096,18.088
2026-02-18 10:50:09,-0.217202,0.158207,2.570576,9.783995,17.478
2026-02-18 10:50:10,-0.225378,0.148830,2.431750,0.225296,17.472
2026-02-18 10:50:11,0.457972,0.158862,2.697429,0.230018,18.114
2026-02-18 10:50:12,-0.203751,0.171705,3.760350,8.930090,17.489
2026-02-18 10:50:13,-0.322336,0.171846,5.452250,0.457702,17.399
2026-02-18 10:50:14,0.522006,0.174873,2.329585,9.957344,18.181
2026-02-18 10:50:15,-0.243935,0.192356,2.512620,0.297773,17.458
2026-02-18 10:50:16,0.427029,0.190713,2.536731,8.314476,18.082
