Time,FrictionSigned,Energy,CPUUtil,PSI,Score
2026-02-18 10:48:40,0.180292,0.133970,4.001380,6.008493,17.827
2026-02-18 10:48:47,0.313568,0.105340,2.567630,0.229802,17.964
2026-02-18 10:48:50,0.392763,0.100665,4.294408,0.285943,18.046
2026-02-18 10:49:00,0.235606,0.132633,3.663719,8.446775,17.884
2026-02-18 10:49:10,0.397981,0.128796,2.237522,0.309994,18.052
2026-02-18 10:49:20,0.530292,0.170893,3.213589,12.467955,18.190
2026-02-18 10:49:30,0.237439,0.216257,3.478760,0.295051,17.886
2026-02-18 10:49:40,0.494071,0.136510,2.926325,0.255936,18.152
2026-02-18 10:49:50,0.368062,0.154555,2.456100,0.252539,18.020
2026-02-18 10:50:00,-0.282559,0.157462,3.070377,0.427418,17.429
