Time,Social_P99_ms,Hotel_P99_ms,Feedback_P99_ms
2026-02-17 13:41:07,33.7134,13.0230,5925.6251
2026-02-17 13:41:13,18.6327,9.0777,731.2622
2026-02-17 13:41:16,28.1187,15.2061,2575.8063
2026-02-17 13:41:19,26.9320,10.4152,799.1592
2026-02-17 13:41:22,24.4468,15.6057,7334.6136
2026-02-17 13:41:29,34.1302,9.4903,6072.6673
2026-02-17 13:41:35,30.7689,9.7333,6195.2651
2026-02-17 13:41:42,19.6793,13.7637,3548.0634
2026-02-17 13:41:45,23.0861,9.9029,3138.4513
2026-02-17 13:41:48,19.5772,9.5468,4882.8664
2026-02-17 13:41:53,19.1428,7.9331,7375.5030
2026-02-17 13:42:01,20.4558,9.7203,223.7750
2026-02-17 13:42:04,21.2299,16.1065,1873.6582
2026-02-17 13:42:07,19.9160,6.1632,5344.3904
2026-02-17 13:42:12,22.6164,11.1784,5396.1077
2026-02-17 13:42:17,16.5916,13.1169,3368.6606
2026-02-17 13:42:21,27.8593,9.1048,6093.6523
2026-02-17 13:42:27,17.4046,13.7301,543.8783
2026-02-17 13:42:30,17.7909,16.9586,3348.3845
2026-02-17 13:42:33,17.9878,13.4460,303.4112
2026-02-17 13:42:36,18.1079,16.9130,5944.8540
2026-02-17 13:42:42,21.6509,11.2219,3094.0139
2026-02-17 13:42:45,18.1402,6.9738,5753.2984
2026-02-17 13:42:51,24.3576,9.4501,573.5337
2026-02-17 13:42:54,17.5114,13.1548,7428.0246
2026-02-17 13:43:02,17.4353,8.5351,5103.8276
2026-02-17 13:43:07,14.3220,8.4470,3943.6951
2026-02-17 13:43:11,19.9027,15.1650,5219.4417
2026-02-17 13:43:16,19.0645,8.0971,3544.0957
2026-02-17 13:43:20,37.6445,10.4253,825.0513
2026-02-17 13:43:23,20.4740,10.2797,3294.9415
2026-02-17 13:43:26,13.4815,7.7899,267.9253
2026-02-17 13:43:29,20.1588,13.2792,1679.0793
2026-02-17 13:43:32,23.9709,14.2800,6556.3346
2026-02-17 13:43:38,19.3287,8.9898,6738.1912
2026-02-17 13:43:45,19.4628,8.7016,6148.7592
2026-02-17 13:43:51,16.1330,8.1260,1851.1198
2026-02-17 13:43:54,21.1754,10.4749,249.3653
2026-02-17 13:43:57,21.0833,10.0867,5554.1824
2026-02-17 13:44:03,11.0900,8.0176,5675.1319
2026-02-17 13:44:09,23.0282,9.1306,3040.6948
2026-02-17 13:44:12,23.0035,18.3085,5604.5889
2026-02-17 13:44:17,18.4054,7.8714,6871.5970
2026-02-17 13:44:24,16.9431,12.3440,827.5216
2026-02-17 13:44:27,20.4407,16.1136,2341.4180
2026-02-17 13:44:30,17.8913,9.0311,411.8903
2026-02-17 13:44:33,21.0470,15.1246,1064.4370
2026-02-17 13:44:36,18.1874,11.6277,5288.1949
2026-02-17 13:44:42,19.6097,8.4495,5316.6296
2026-02-17 13:44:47,16.4057,8.3486,845.2418
2026-02-17 13:44:50,18.9897,12.9113,3577.6934
2026-02-17 13:44:54,20.3439,7.3672,4537.5247
2026-02-17 13:44:58,16.4025,10.5240,3902.1675
2026-02-17 13:45:02,21.5816,8.2209,4992.3491
2026-02-17 13:45:07,14.7341,10.0866,744.8489
2026-02-17 13:45:10,20.8552,15.2910,640.4701
2026-02-17 13:45:13,19.7607,12.2555,5216.3853
2026-02-17 13:45:18,37.1763,45.3475,2443.1510
2026-02-17 13:45:21,16.9796,127.2312,1062.3298
2026-02-17 13:45:24,16.4103,198.4418,2714.3934
2026-02-17 13:45:27,33.1018,75.0348,2856.6833
2026-02-17 13:45:30,35.0122,128.7117,1835.2074
2026-02-17 13:45:33,20.1284,63.4415,3819.8462
2026-02-17 13:45:37,21.9137,132.4678,3231.9099
2026-02-17 13:45:40,221.7237,49.5862,1423.9710
2026-02-17 13:45:43,27.4992,26.2593,5208.6068
2026-02-17 13:45:49,15.6394,74.8680,497.3320
2026-02-17 13:45:52,20.8839,101.2312,1176.9356
2026-02-17 13:45:55,223.1224,65.0060,1111.7010
2026-02-17 13:45:58,224.9861,60.5472,2124.6597
2026-02-17 13:46:01,14.7111,57.2513,1492.9169
2026-02-17 13:46:04,28.5665,98.0811,2789.7950
2026-02-17 13:46:07,18.5082,280.3806,2381.5216
2026-02-17 13:46:10,34.4942,295.8865,3072.3042
