Time,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI,BaselineMode,BaselineSamples,Friction,Direction,dF_dt,Energy,Energy_W,Energy_Vol,Energy_kFactor
2026-02-17 13:29:13.860,0.42,0.0209,0.0150,0.0150,0.1130,20,0,0.00,0,0.00,1,,,CALIBRATING,0,,,,,40,0.000000,1.000000
2026-02-17 13:29:14.860,331.38,0.0190,0.0150,0.0150,6.0070,17428,0,29.48,34,16.40,521,2.270903,0.262046,CALIBRATING,1,,,,,40,0.000000,1.000000
2026-02-17 13:29:15.860,370.52,0.0191,0.0150,0.0150,4.4250,19351,0,36.71,134,34.50,881,2.238292,0.371866,CALIBRATING,2,,,,,40,0.000000,1.000000
2026-02-17 13:29:16.860,2100.76,0.0760,0.0150,0.0150,99.8400,27640,2,40.25,54,34.02,608,2.629464,10.349344,CALIBRATING,3,,,,,40,0.000000,1.000000
2026-02-17 13:29:17.860,1732.67,0.0962,0.0150,0.0150,99.8850,18002,2,27.82,51,35.78,625,2.833544,6.235604,CALIBRATING,4,,,,,40,0.000000,1.000000
2026-02-17 13:29:18.860,349.75,0.0183,0.0150,0.0150,3.9250,19131,1,56.89,166,21.93,754,2.213049,0.228945,CALIBRATING,5,,,,,40,0.000000,1.000000
2026-02-17 13:29:19.860,355.06,0.0186,0.0150,0.0150,3.0130,19050,0,30.45,36,16.91,596,2.443221,0.250383,CALIBRATING,6,,,,,40,0.000000,1.000000
2026-02-17 13:29:20.860,350.12,0.0184,0.0150,0.0150,3.7340,18981,0,53.74,66,13.39,477,2.098383,0.248912,CALIBRATING,7,,,,,40,0.000000,1.000000
2026-02-17 13:29:21.860,938.15,0.0512,0.0150,0.0150,93.2370,18333,1,34.65,126,14.72,609,2.408257,5.807592,CALIBRATING,8,,,,,40,0.000000,1.000000
2026-02-17 13:29:22.860,402.20,0.0149,0.0150,0.0150,3.0480,26995,1,41.59,51,22.98,669,3.216912,0.295632,CALIBRATING,9,,,,,40,0.000000,1.000000
